"","GSM748796","GSM748797","GSM748798","GSM748799","GSM748800","GSM748801","GSM748802","GSM748803","GSM748804","GSM748805","GSM748806","GSM748807","GSM748808","GSM748809","GSM748810","GSM748811","GSM748812","GSM748813","GSM748814"
"CG42789",4.03190440931681,7.17032703110377,5.81039385815497,5.9573496765704,3.14997392514346,4.17953591022752,4.21252544876975,7.82961642857586,7.71198248801615,6.179597400838,6.39694956609027,6.72657933168032,6.22965663640886,4.77176857388404,6.17717566222424,7.1905620124789,6.85486289924975,5.65762093209616,6.82142345486168
"hpRNA:CR32207",7.00846842570638,9.24537563292873,7.1404972876805,9.10887446896892,6.46159205778904,5.9560627197101,6.60743782393838,8.50314653837316,9.50185768998377,6.90793961293873,6.7401316174625,7.283457952052,6.59603352541992,6.40417721058687,6.71404598352625,5.82251123488353,5.93329256842756,5.15378911063932,5.7475244061729
"TotC",2.53421880632955,3.93768739904137,3.08285743489362,6.46147904461412,2.63522701351867,2.85220908281512,3.25721538114291,6.09949250077758,6.29445003869558,2.63476399267358,2.41779437460783,2.94871933678816,3.22655763512206,4.76949156225558,3.39378089717199,5.21033288573477,5.84400167090623,5.68566387004045,6.82151390109448
"CG43134",7.12875625584378,9.03000697750117,9.98711088732569,10.2760817707639,5.46013891508219,5.30741006415286,6.09455274516895,10.1723114506787,8.70499564505232,6.13201042449668,6.0645570305165,6.24488467227374,7.44447253435757,8.15523596659326,7.09249165445825,6.23337656279391,6.99317000788275,7.91010717338643,8.58738439055908
"CG43117",8.6682655012758,6.84329463966867,8.90736097585394,7.27365781028812,8.79646377244574,8.46010717402034,8.95653045020568,6.33108704359973,6.83711828583613,6.91976026181358,6.76550502125481,7.42250172527714,7.4634903117073,6.63050163115687,7.15734588828226,8.26675188494096,8.13790120887938,8.07894202276317,7.78309065499803
"CG30049",5.95110587374716,7.08416901908307,5.01068455403608,6.14044782897208,5.76533395665264,4.21161107152455,4.78793512540029,8.68690499347342,7.95124009841386,5.16299694396723,5.09371384162027,5.17104884500287,4.82786403267341,5.33917867180469,4.98392156909556,4.67040901724123,5.44740184712184,4.13069947928107,4.52080539492498
"NT5E-2",3.61752831895519,4.88912401622348,5.5265825869073,5.79875619296271,4.48055232807407,5.38918047052737,4.65952388051257,7.01525712995062,6.17700023418565,3.56523660534898,4.01797683137189,3.6115964901014,5.86012495725987,5.89688585114681,6.12302044008268,3.94934356747931,4.62761723846708,5.70288724990009,5.42288828848465
"Mal-A6",6.93210311186993,9.24595755000138,7.45132196336975,8.54388184233928,7.48731078667582,6.13339986246533,7.36689691407629,10.4505006687789,10.630934089337,7.05851651680155,6.81916125727095,6.85167007740742,8.03218011984851,8.69163663901699,7.81717108624768,6.34643082304289,8.95961677947118,7.6160812533402,7.53325552568823
"CG33474",6.3794537856025,5.0302034753582,4.54313165303993,4.67226739575241,4.6344927551861,5.87471499169902,5.92586547517376,3.79394367070612,4.28818433311619,5.96500790798117,6.3285281065995,6.19671243142883,4.2285555187426,4.44486718932004,4.23741550740408,5.92699683912531,5.98111722682155,4.22338520232755,4.36993877125577
"CG13028",6.09090728822266,4.62720917586423,8.07932284034857,5.38396231707983,6.69894581742802,7.68249112177235,5.63969442820015,4.74607793803239,4.29826171212068,7.06269197900032,7.06408602618724,6.96167276301767,7.70649755507893,7.93007318419369,7.38386774722806,7.14876677895573,7.02301174291194,7.55307003837915,8.44863192258195
"sc",8.85138110843604,9.9733587304175,6.67150212749467,9.28487071445481,6.84831969732238,6.84384816299061,7.89929625173605,9.96246820757924,9.88534102892224,8.68423532639289,8.73474770031524,8.8615461715088,7.95082943898974,6.40471143328302,8.08232386386912,6.4712928417475,6.79190716041407,5.51182663831511,5.89849913687193
"CG17778",6.74477306014627,9.02979876593717,9.09443457454079,9.76638306664247,6.50121395355843,8.72191541876657,7.02507815353418,10.6305748235022,10.0225040737466,7.71625685412617,7.51544451416986,7.43997296627284,7.94501358279476,9.35743892415906,7.61110553886099,6.80494888471872,7.20769094616403,8.83717656042129,7.77961661191247
"CG14798",6.3207747779928,7.97832296765531,6.50312475407016,8.2716412498775,5.89846485580149,5.61909714931453,5.70878520687171,7.61040521343434,8.18605489211707,6.02156217078426,5.96772973279375,6.24236839873556,5.69276980092414,5.28332607463095,5.75231552211459,5.14382448770455,4.93247186746095,5.24943490781843,5.15333038457695
"Unc-76",11.4221259593424,8.62331922464277,11.4459002625004,10.0221817231629,12.6618986033578,12.3215057912422,12.2408160321175,8.78620382737225,8.81889165957705,11.0372169739619,11.0944495149417,10.9818990230004,11.320744707961,11.1323538635197,11.1446541286766,12.2134011953178,12.1735506309514,12.1303860683809,11.8460072932435
"SmydA-8",8.56908112467712,6.98194459270699,11.1128668852993,8.39515384548825,10.3598637999223,10.8559417520262,10.0961937169559,9.28442126477338,8.57433742609961,7.94772396855201,8.23756264784854,8.10217634871999,8.41014498100914,8.65068765039699,8.15360749195806,7.80541233925107,7.51936279611737,8.14641482706713,7.33746014164909
"CG15468",4.46894963657597,5.28063119840677,4.02976603152197,4.78774620980329,5.17557878139803,4.22167585513694,4.61088076214871,3.76760701824742,4.22756905301656,6.29090671046984,6.12663488493216,6.13305945083771,4.37230733363997,4.45518321902507,4.55744954419864,5.89994330118145,6.11428067464782,5.01387023914982,4.68750704085198
